Time,Co2(PPM),Temp,RH(%)
12:21:12,1137,0.00,0.00
12:21:15,1137,25.85,0.00
12:21:18,1140,25.85,0.00
12:21:21,1140,25.85,0.00
12:21:24,1140,25.85,0.00
12:21:27,1142,25.85,0.00
12:21:30,1142,25.85,0.00
12:21:33,1142,25.85,0.00
12:21:36,1142,25.85,0.00
12:21:39,1142,25.85,0.00
12:21:42,1142,25.85,0.00
12:21:45,1142,25.85,0.00
12:21:48,1142,25.85,0.00
12:21:51,1142,25.85,0.00
12:21:54,1142,25.85,0.00
12:21:57,1142,25.85,0.00
12:22:00,1142,25.85,0.00
12:22:03,1142,25.85,0.00
12:22:06,1141,25.85,0.00
12:22:09,1141,25.85,0.00
12:22:12,1141,25.85,0.00
12:22:15,1141,25.85,0.00
12:22:18,1140,25.85,0.00
12:22:21,1140,25.85,0.00
12:22:24,1140,25.85,0.00
12:22:27,1140,25.85,0.00
12:22:30,1140,25.85,0.00
12:22:33,1140,25.85,0.00
12:22:36,1140,25.85,0.00
12:22:39,1140,25.85,0.00
12:22:42,1140,25.85,0.00
12:22:45,1140,25.85,0.00
12:22:48,1138,25.85,0.00
12:22:51,1138,25.85,0.00
12:22:54,1138,25.85,0.00
12:22:57,1137,25.85,0.00
12:23:00,1137,25.85,0.00
12:23:03,1137,25.85,0.00
12:23:06,1138,25.85,0.00
12:23:09,1138,25.85,0.00
12:23:12,1138,25.85,0.00
12:23:15,1138,25.85,0.00
12:23:18,1137,25.85,0.00
12:23:21,1137,25.85,0.00
12:23:24,1137,25.85,0.00
12:23:27,1138,25.85,0.00
12:23:30,1138,25.85,0.00
12:23:33,1138,25.85,0.00
12:23:36,1140,25.85,0.00
12:23:39,1140,25.85,0.00
12:23:42,1140,25.85,0.00
12:23:45,1140,25.85,0.00
12:23:48,1142,25.85,0.00
12:23:51,1142,25.85,0.00
12:23:54,1142,25.85,0.00
12:23:57,1144,25.85,0.00
12:24:00,1144,25.85,0.00
12:24:03,1144,25.85,0.00
12:24:06,1144,25.85,0.00
12:24:09,1146,25.85,0.00
12:24:12,1146,25.85,0.00
12:24:15,1146,25.85,0.00
12:24:18,1146,25.85,0.00
12:24:21,1146,25.85,0.00
12:24:24,1146,25.85,0.00
12:24:27,1146,25.85,0.00
12:24:30,1146,25.85,0.00
12:24:33,1146,25.85,0.00
12:24:36,1146,25.85,0.00
12:24:39,1146,25.85,0.00
12:24:42,1146,25.85,0.00
12:24:45,1146,25.85,0.00
12:24:48,1146,25.85,0.00
12:24:51,1146,25.85,0.00
12:24:54,1146,25.85,0.00
12:24:57,1149,25.85,0.00
12:25:00,1149,25.85,0.00
12:25:03,1149,25.85,0.00
12:25:06,1149,25.85,0.00
12:25:09,1150,25.85,0.00
12:25:12,1150,25.85,0.00
12:25:15,1150,25.85,0.00
12:25:18,1152,25.85,0.00
12:25:21,1152,25.85,0.00
12:25:24,1152,25.85,0.00
12:25:27,1154,25.85,0.00
12:25:30,1154,25.85,0.00
12:25:33,1154,25.85,0.00
12:25:36,1154,25.85,0.00
12:25:39,1154,25.85,0.00
12:25:42,1154,25.85,0.00
12:25:45,1154,25.85,0.00
12:25:48,1154,25.85,0.00
12:25:51,1154,25.85,0.00
12:25:54,1154,25.85,0.00
12:25:57,1154,25.85,0.00
12:26:00,1154,25.85,0.00
12:26:03,1154,25.85,0.00
12:26:06,1154,25.85,0.00
12:26:09,1154,25.85,0.00
12:26:12,1154,25.85,0.00
12:26:15,1154,25.85,0.00
12:26:18,1157,25.85,0.00
12:26:21,1157,25.85,0.00
12:26:24,1157,25.85,0.00
12:26:27,1156,25.85,0.00
12:26:30,1156,25.85,0.00
12:26:33,1156,25.85,0.00
12:26:36,1156,25.85,0.00
12:26:39,1157,25.85,0.00
12:26:42,1157,25.85,0.00
12:26:45,1157,25.85,0.00
12:26:48,1157,25.85,0.00
12:26:51,1157,25.85,0.00
12:26:54,1157,25.85,0.00
12:26:57,1160,25.85,0.00
12:27:00,1160,25.85,0.00
12:27:03,1160,25.85,0.00
12:27:06,1160,25.85,0.00
12:27:09,1161,25.85,0.00
12:27:12,1161,25.85,0.00
12:27:15,1161,25.85,0.00
12:27:18,1162,25.85,0.00
12:27:21,1162,25.85,0.00
12:27:24,1162,25.85,0.00
12:27:27,1163,25.85,0.00
12:27:30,1163,25.85,0.00
12:27:33,1163,25.85,0.00
12:27:36,1163,25.85,0.00
12:27:39,1165,25.85,0.00
12:27:42,1165,25.85,0.00
12:27:45,1165,25.85,0.00
12:27:48,1165,25.85,0.00
12:27:51,1165,25.85,0.00
12:27:54,1165,25.85,0.00
12:27:57,1163,25.85,0.00
12:28:00,1163,25.85,0.00
12:28:03,1163,25.85,0.00
12:28:06,1163,25.85,0.00
12:28:09,1162,25.85,0.00
12:28:12,1162,25.85,0.00
12:28:15,1162,25.85,0.00
12:28:18,1161,25.85,0.00
12:28:21,1161,25.85,0.00
12:28:24,1161,25.85,0.00
12:28:27,1161,25.85,0.00
12:28:30,1161,25.85,0.00
12:28:33,1161,25.85,0.00
12:28:36,1161,25.85,0.00
12:28:39,1161,25.85,0.00
12:28:42,1161,25.85,0.00
12:28:45,1161,25.85,0.00
12:28:48,1161,25.85,0.00
12:28:51,1161,25.85,0.00
12:28:54,1161,25.85,0.00
12:28:57,1161,25.85,0.00
12:29:00,1161,25.85,0.00
12:29:03,1161,25.85,0.00
12:29:06,1161,25.85,0.00
12:29:09,1161,25.85,0.00
12:29:12,1161,25.85,0.00
12:29:15,1161,25.85,0.00
12:29:18,1161,25.85,0.00
